1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
856,854,3,No,706,GLQ,150,548,RFn,2003,1710,Gd,8450,65,196,61,5,7,856,2003,2003,208500
1262,1066,3,Gd,978,ALQ,284,460,RFn,1976,1262,TA,9600,80,336,20,8,6,1262,1976,1976,181500
920,866,3,Mn,486,GLQ,434,608,RFn,2001,1786,Gd,11250,68,162,42,5,7,920,2001,2002,223500
961,862,3,No,216,ALQ,540,642,Unf,1998,1717,Gd,9550,60,89,35,5,7,756,1915,1970,140000
1145,672,4,Av,655,GLQ,490,836,RFn,2000,2198,Gd,14260,84,350,84,5,8,1145,2000,2000,250000
796,566,1,No,732,GLQ,64,480,Unf,1993,1362,TA,14115,85,268,30,5,5,796,1993,1995,143000
1694,871,3,Av,1369,GLQ,317,636,RFn,2004,1694,Gd,10084,75,186,57,5,8,1686,2004,2005,307000
1107,983,3,Mn,859,ALQ,216,484,RFn,1973,2090,TA,10382,70,240,204,6,7,1107,1973,1973,200000
1022,752,2,No,680,Unf,952,468,Unf,1931,1774,TA,6120,51,200,29,5,7,952,1931,2006,129900
1077,720,2,No,851,GLQ,140,205,RFn,1939,1077,TA,7420,50,128,4,6,5,991,1939,2006,118000
1040,756,3,No,906,Rec,134,384,Unf,1965,1040,TA,11200,70,480,112,5,5,1040,1965,1965,129500
1182,1142,4,No,998,Unf,177,736,Fin,2005,2324,Ex,11924,85,286,21,5,9,1175,2005,2006,345000
912,785,2,No,737,ALQ,175,352,RFn,1962,912,TA,12968,43,340,120,6,5,912,1962,1962,144000
1494,977,3,Av,220,Unf,1494,840,RFn,2006,1494,Gd,10652,91,306,33,5,7,1494,2006,2007,279500
1253,688,4,No,733,BLQ,520,352,RFn,1960,1253,TA,10920,70,212,213,5,6,1253,1960,1960,157000
854,887,2,No,273,Unf,832,576,Unf,1991,854,TA,6120,51,1,112,8,7,832,1929,2001,132000
1004,620,2,No,578,ALQ,426,480,Fin,1970,1004,TA,11241,55,180,75,7,6,1004,1970,1970,149000
1296,817,2,None,510,None,75,516,Unf,1967,1296,TA,10791,72,365,21,5,4,600,1967,1967,90000
