1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
2515,808,4,1,1219,3,816,484,0,1975,2515,2,32668,85,18,75,3,6,2035,1957,1975,200624
958,620,3,1,403,4,238,240,1,1941,1578,1,9490,79,157,36,7,6,806,1941,2003,133000
979,224,3,1,185,2,524,352,1,1950,1203,3,7015,80,161,87,4,5,709,1950,2007,110000
1156,866,4,1,392,4,768,505,3,1977,2022,2,10005,83,299,117,5,7,1160,1977,1977,192000
525,586,3,1,643,1,525,264,1,1971,1092,2,1680,21,381,98,5,6,525,1971,1971,88000
1022,371,2,1,247,6,310,280,1,1956,1022,2,7200,60,18,30,4,5,1022,1910,2006,85000
1464,807,3,4,929,6,556,754,1,2007,1464,3,15256,49,84,160,5,8,1485,2007,2007,282922
780,595,3,1,351,1,780,544,1,1979,1375,3,9000,50,72,162,6,6,780,1937,1966,141000
2411,2065,4,3,2096,6,300,813,3,1996,4476,4,15623,160,158,78,5,10,2396,1996,1996,745000
551,551,2,1,239,6,312,480,1,2004,1102,3,5105,61,120,60,5,7,551,2004,2004,148800
1352,795,2,1,616,1,1352,466,0,2006,1352,3,4230,47,120,241,5,7,1352,2006,2007,208900
1680,576,4,1,425,1,1680,528,1,1976,1680,2,11500,65,164,49,6,5,1680,1976,1976,136905
1005,978,3,1,694,6,284,490,3,1999,1983,3,10762,68,344,92,5,7,978,1999,1999,225000
900,881,3,3,769,5,95,288,2,1967,900,2,7838,68,145,144,5,5,864,1967,1967,123000
1082,862,2,1,336,4,746,240,1,1948,1082,2,11664,60,206,130,5,6,1082,1948,1971,119200
1314,192,3,1,922,3,392,294,2,1957,1314,2,8400,70,178,102,6,5,1314,1957,1957,145000
1061,862,3,1,674,6,76,564,2,1992,1923,3,10186,107,442,39,5,7,750,1992,1992,190000
990,351,3,1,588,3,402,648,0,1994,990,2,8070,60,423,27,5,4,990,1994,1995,123600
1228,167,3,1,632,1,1228,271,1,1966,1228,3,8544,66,340,65,6,5,1228,1966,2006,149350
916,1312,4,1,299,5,611,164,1,1915,1826,4,2500,50,360,44,8,7,910,1915,2005,155000
910,896,4,1,507,3,403,720,1,2000,1385,2,8520,71,579,36,4,5,910,1952,1952,166000
848,728,1,4,662,6,186,420,3,2004,848,3,4438,80,169,98,5,6,848,2004,2004,144500
816,548,2,4,104,2,175,516,1,1963,816,2,8472,110,157,63,5,5,816,1963,1963,110000
702,779,3,1,929,1,702,343,3,1994,1481,2,8125,65,576,36,5,6,702,1994,1995,174000
943,933,4,1,442,5,459,540,2,1974,1876,3,9120,76,270,69,6,6,901,1974,1974,185000
916,826,4,1,216,4,700,424,1,1925,1742,3,17671,121,180,169,9,8,916,1882,1986,168000
769,804,3,1,378,6,378,440,1,2000,1573,3,2117,76,216,32,5,6,756,2000,2000,177500
630,896,1,3,131,4,280,420,3,1970,630,2,1936,21,350,51,6,4,630,1970,1970,84500
1698,1067,3,1,1234,6,464,768,1,2007,1698,4,13286,86,340,64,5,9,1698,2007,2008,320000
832,384,2,1,442,3,390,336,1,1947,1216,2,8480,80,70,41,5,5,832,1947,1964,118500
1776,1040,4,1,361,1,1584,888,1,1968,1776,2,11475,85,95,25,5,5,1584,1958,1958,110000
1006,769,3,1,513,5,227,425,0,1993,1775,3,9317,75,137,72,5,7,740,1993,1993,213000
912,110,2,3,773,6,115,470,2,1978,912,2,7540,21,350,90,6,6,888,1978,1978,156000
1145,213,4,3,655,6,490,836,2,2000,2198,3,14260,84,350,84,5,8,1145,2000,2000,250000
2046,591,3,2,495,1,2046,834,3,2008,2046,3,11844,80,464,82,5,8,2046,2008,2008,372500
