BedroomAbvGr,BsmtExposure,BsmtFinType1,GarageFinish,GrLivArea,KitchenQual,LotArea,LotFrontage,OverallCond,OverallQual,TotalBsmtSF,SalePrice,Has2ndFloor,HasMasVnr,HasOpenPorch,HasGarage,ModsMade,SalePriceBand
4.0,1,3,0,50.149775672479336,1,17695.875,92.0,4,4,2035.0,200624,0,1,1,0,1,4
3.0,1,6,0,39.72404813208241,3,9490.0,79.0,1,4,806.0,133000,1,1,1,0,1,2
3.0,1,5,0,34.68429039204925,0,7015.0,60.0,6,1,709.0,110000,1,0,1,0,0,2
4.0,1,6,2,44.96665431183423,1,10005.0,83.0,0,3,1160.0,192000,1,0,0,0,0,4
3.0,1,1,0,33.04542328371661,1,1680.0,28.125,0,4,525.0,88000,0,0,1,0,0,1
2.0,1,0,0,31.96873472629156,1,7200.0,60.0,6,1,1022.0,85000,0,1,0,0,1,1
3.0,2,0,0,38.262252939417984,0,15256.0,49.0,0,2,1485.0,282922,0,0,0,0,0,6
3.0,1,1,0,37.080992435478315,0,9000.0,50.0,2,4,780.0,141000,1,1,0,0,1,2
4.0,0,0,2,51.82422213598579,2,15623.0,113.125,0,6,2202.875,745000,1,1,0,0,0,19
2.0,1,0,0,33.19638534539566,0,5105.0,60.0,0,3,551.0,148800,1,1,0,0,0,3
2.0,1,1,1,36.76955262170047,0,4230.0,47.0,0,3,1352.0,208900,0,1,0,0,1,4
4.0,1,1,0,40.98780306383839,1,11500.0,113.125,2,1,1680.0,136905,0,0,1,0,0,2
3.0,1,0,2,44.53088815642464,0,10762.0,80.0,0,3,978.0,225000,1,0,1,0,0,5
3.0,0,2,1,30.0,1,7838.0,68.0,0,1,864.0,123000,0,1,0,0,0,2
2.0,1,6,0,32.89376840679705,1,11664.0,60.0,0,4,1082.0,119200,0,0,0,0,1,2
3.0,1,3,1,36.24913792078372,1,8400.0,70.0,2,1,1314.0,145000,0,1,1,0,0,3
3.0,1,0,1,43.8520238985614,0,10186.0,107.0,0,3,750.0,190000,1,1,0,0,0,4
3.0,1,0,3,31.464265445104548,1,8070.0,60.0,0,5,990.0,123600,0,1,1,1,1,2
3.0,1,1,0,35.04283093587046,0,8544.0,72.0,2,1,1228.0,149350,0,1,0,0,1,3
4.0,1,2,0,42.731721238442994,2,2500.0,50.0,3,3,910.0,155000,0,1,1,0,1,3
4.0,1,3,0,37.21558813185679,1,8520.0,71.0,6,1,910.0,166000,0,1,1,0,0,3
1.0,2,0,2,29.120439557122072,0,4438.0,60.0,0,4,848.0,144500,0,0,1,0,0,3
2.0,2,5,0,28.5657137141714,1,8472.0,110.0,0,1,816.0,110000,0,1,1,0,0,2
3.0,1,1,2,38.48376280978771,1,8125.0,65.0,0,4,702.0,174000,1,1,0,0,1,3
4.0,1,2,1,43.31281565541543,0,9120.0,76.0,2,4,901.0,185000,1,0,0,0,0,4
4.0,1,6,0,41.737273509418415,0,17671.0,113.125,5,2,916.0,168000,1,1,0,0,1,3
3.0,1,0,0,39.66106403010388,0,2117.0,113.125,0,4,756.0,177500,1,0,0,0,0,3
1.0,0,6,0,25.099800796022265,1,1936.0,28.125,2,5,630.0,84500,0,1,1,1,0,1
3.0,1,0,1,41.20679555607303,2,13286.0,86.0,0,0,1698.0,320000,0,0,0,0,1,7
2.0,1,3,0,34.87119154832539,1,8480.0,80.0,0,1,832.0,118500,1,1,1,0,1,2
4.0,1,1,0,42.14261501141095,1,11475.0,85.0,0,1,1584.0,110000,0,0,0,0,0,2
3.0,1,2,1,42.13074886588179,0,9317.0,75.0,0,3,740.0,213000,1,0,0,0,0,4
2.0,0,0,1,30.199337741083,1,7540.0,52.0,2,4,888.0,156000,0,1,1,0,0,3
4.0,0,0,1,46.88283267892417,0,14260.0,84.0,0,2,1145.0,250000,0,0,0,0,0,5
3.0,4,1,2,45.232731511594565,0,11844.0,80.0,0,2,2046.0,372500,0,0,0,0,0,9
3.0,2,0,0,38.02630668366309,1,17695.875,57.0,0,3,729.0,175000,1,1,0,0,1,3
2.0,1,0,2,39.50949253027682,2,7313.0,60.0,0,0,1561.0,277500,0,0,0,0,0,6
3.0,1,5,0,29.698484809834994,1,7700.0,70.0,0,1,882.0,112500,0,1,1,0,0,2
4.0,1,1,2,45.760244754590204,0,9375.0,75.0,0,3,912.0,263000,1,1,0,0,1,6
3.0,0,0,1,51.20546845796843,0,12256.0,98.0,0,2,1463.0,325000,0,0,0,0,1,8
4.0,0,2,0,46.45427859734774,0,12615.0,84.0,1,4,1202.0,243000,0,1,0,0,1,5
3.0,1,2,0,36.87817782917155,1,7134.0,60.0,0,1,384.0,130000,0,1,0,0,0,2
3.0,0,0,2,36.193922141707716,0,8767.0,65.0,0,3,1310.0,164990,0,1,1,0,0,3
3.0,4,0,2,42.8485705712571,0,11362.0,107.0,0,2,1836.0,280000,0,0,0,0,1,6
4.0,1,3,2,51.82422213598579,2,15138.0,113.125,0,2,1462.0,403000,1,0,0,0,1,10
4.5,1,0,0,41.569219381653056,1,10624.0,81.0,6,1,1728.0,119000,0,0,1,0,0,2
2.0,1,5,1,28.722813232690143,1,8235.0,49.0,1,1,825.0,125000,0,1,0,0,1,2
3.0,0,5,0,29.899832775452108,1,10650.0,75.0,2,1,894.0,128200,0,1,1,0,0,2
3.0,1,5,1,41.02438299353203,1,11184.0,70.0,0,4,918.0,172500,1,0,1,0,0,3
2.0,3,1,0,30.495901363953813,0,11100.0,60.0,1,5,0.0,84900,0,1,1,0,1,1
3.0,0,0,2,51.65268628057983,2,13688.0,110.0,0,0,1572.0,412500,1,0,1,0,1,10
3.0,1,2,1,32.7566787083184,1,10289.0,79.0,1,1,1073.0,156000,0,0,1,0,0,3
2.0,1,2,1,36.52396473549935,1,9650.0,80.0,0,4,1350.0,167900,0,0,0,0,0,3
2.0,1,3,3,28.071337695236398,1,7446.0,113.125,0,5,788.0,100000,0,1,1,1,1,1
2.0,2,0,2,40.54626986542659,0,12800.0,80.0,0,3,1518.0,275000,0,0,1,0,0,6
3.0,1,1,0,29.5296461204668,1,8294.0,70.0,0,5,858.0,123000,0,1,1,0,0,2
2.0,1,1,0,37.841775856849004,1,9600.0,60.0,1,1,264.0,132000,1,1,1,0,1,2
3.0,1,1,1,42.43819034784589,0,10463.0,72.0,0,2,893.0,239900,1,1,0,0,0,5
3.0,1,3,0,33.481338085566414,1,8816.0,80.0,2,1,1121.0,139000,0,1,0,0,0,2
2.0,1,2,0,28.089143810376278,1,6000.0,50.0,0,1,789.0,115000,0,1,1,0,1,2
3.0,2,0,1,32.46536616149585,0,8800.0,80.0,1,4,936.0,137500,0,0,1,0,0,2
3.0,1,6,0,32.37282811247729,1,10152.0,72.0,0,1,1048.0,135000,0,0,0,0,0,2
2.0,1,6,0,35.156791662493895,0,10011.0,72.0,2,1,1070.0,134450,0,0,1,0,1,2
3.0,0,0,1,33.94112549695428,1,14112.0,113.125,1,1,1152.0,180500,0,0,1,0,0,4
3.0,1,0,1,40.97560249709576,0,8125.0,65.0,0,4,1408.0,193500,0,0,0,0,1,4
3.0,1,2,1,38.44476557348217,1,8400.0,70.0,4,4,1478.0,156500,0,1,1,0,0,3
2.0,1,3,0,30.463092423455635,1,13300.0,70.0,1,1,928.0,132000,0,1,1,0,1,2
3.0,0,1,1,41.13392760240627,0,13159.0,83.0,0,3,846.0,224500,1,1,0,0,0,5
3.0,1,1,0,35.35533905932738,1,5362.0,53.0,2,1,661.0,139000,1,1,1,0,1,2
3.0,2,1,2,41.6293165929973,0,12394.0,44.0,0,3,847.0,225000,1,1,0,0,0,5
4.5,1,3,2,37.841775856849004,0,7795.0,71.0,0,3,716.0,188500,1,1,0,0,1,4
2.0,1,0,1,32.817678162843876,1,7420.0,50.0,2,1,991.0,118000,0,1,0,0,1,2
2.0,3,4,0,30.72458299147443,3,10206.0,74.0,4,7,0.0,82000,0,1,1,0,0,1
2.0,0,6,1,37.66961640367472,0,8089.0,60.0,2,2,1419.0,392000,0,1,1,0,0,9
3.0,1,1,0,30.983866769659336,1,8926.0,80.0,4,5,672.0,112000,0,1,1,0,0,2
3.0,0,2,1,40.570925550201586,0,10656.0,67.0,0,2,1638.0,248900,0,0,0,0,1,5
3.0,0,6,0,31.606961258558215,1,10205.0,69.0,0,1,925.0,134500,0,1,0,0,0,2
2.0,1,1,0,30.577769702841312,1,9100.0,50.0,2,1,742.0,79500,0,1,1,0,1,1
4.0,4,0,1,49.61854492022111,0,17695.875,113.125,0,3,1392.0,320000,1,0,0,0,1,7
3.0,2,5,1,36.08323710533743,0,9350.0,85.0,1,4,1302.0,158000,0,0,1,0,1,3
2.0,2,0,0,30.59411708155671,1,7200.0,60.0,0,1,936.0,140000,0,0,1,0,0,2
3.0,1,2,0,29.393876913398138,1,7000.0,74.0,3,1,864.0,136500,0,0,1,0,1,2
3.0,2,0,3,36.701498607005135,1,7000.0,70.0,1,1,1117.0,107500,1,1,1,1,1,2
3.0,1,0,0,31.464265445104548,1,9245.0,57.0,0,1,990.0,145000,0,1,1,0,1,3
3.0,1,3,0,51.82422213598579,2,17695.875,113.125,2,1,1598.0,200500,1,1,1,1,1,4
3.0,4,0,1,36.565010597564445,0,8450.0,65.0,0,3,1337.0,185000,0,1,0,0,0,4
3.0,1,1,0,34.84250278036869,1,10410.0,60.0,6,7,672.0,105000,0,1,1,0,1,1
2.0,1,1,1,36.98648401781386,0,6792.0,40.0,0,3,1368.0,202665,0,0,0,0,1,4
3.0,4,0,1,34.813790371058424,0,10420.0,83.0,0,4,1212.0,186000,0,1,0,0,0,4
3.0,1,6,0,32.863353450309965,1,9464.0,75.0,1,4,1080.0,136000,0,0,1,0,0,2
3.0,1,0,1,41.012193308819754,0,8750.0,70.0,0,4,804.0,200500,1,0,0,0,0,4
3.0,4,0,2,39.67366884975475,1,17695.875,95.0,0,4,796.0,190000,1,0,0,0,0,4
3.0,1,2,2,38.704004960727254,1,13031.0,72.0,0,4,691.0,187500,1,1,0,0,1,4
3.0,1,0,1,43.139309220245984,0,13450.0,95.0,0,3,916.0,200000,1,1,0,0,0,4
2.0,0,1,2,35.4682957019364,0,3922.0,53.0,0,3,1258.0,172500,0,0,0,0,1,3
2.0,1,6,1,35.397740040855716,1,10920.0,28.125,0,4,1253.0,157000,0,0,0,0,0,3
3.0,0,0,1,38.52272056851645,0,8400.0,70.0,0,3,1473.0,213000,0,0,0,0,1,4
4.0,4,1,2,40.91454509095757,1,17695.875,66.0,1,4,1163.0,185000,1,1,0,0,1,4
3.0,1,2,0,29.393876913398138,1,8120.0,70.0,1,5,864.0,124500,0,1,1,0,0,2
3.0,1,1,0,39.66106403010388,1,6240.0,52.0,1,1,1078.0,162900,1,1,1,0,1,3
3.0,0,0,1,41.641325627314025,0,11645.0,78.0,0,3,1734.0,260000,0,1,0,0,0,6
4.0,3,1,1,43.840620433565945,0,7301.0,64.0,0,3,0.0,198500,1,0,1,0,0,4
3.0,3,1,0,36.60601043544625,1,9060.0,60.0,2,1,0.0,120000,0,0,1,0,1,2
3.0,1,6,2,37.76241517699841,1,7950.0,75.0,2,4,690.0,159500,1,0,1,0,0,3
2.0,1,1,0,26.832815729997478,1,8520.0,60.0,3,4,624.0,105900,0,1,1,0,1,1
4.0,1,1,0,49.16299421312742,0,16059.0,113.125,0,2,1288.0,260000,1,0,0,0,1,6
1.0,1,0,0,36.90528417449187,1,14115.0,85.0,0,1,796.0,143000,1,1,0,0,1,3
2.0,1,2,0,30.83828789021855,1,8765.0,50.0,2,5,951.0,106500,0,1,0,0,1,1
3.0,1,2,2,38.52272056851645,0,10237.0,65.0,0,4,783.0,178900,1,1,0,0,1,3
3.0,1,1,3,36.810324638611924,0,6882.0,60.0,1,4,684.0,127000,1,1,1,1,1,2
3.0,1,5,0,26.343879744638983,0,4280.0,40.0,2,1,440.0,90350,0,1,1,0,1,1
3.0,4,3,0,32.07802986469088,1,7943.0,61.0,0,5,1029.0,118500,0,0,1,0,0,2
4.0,1,3,1,44.64302857109943,1,14803.0,91.0,0,4,825.0,190000,1,0,0,0,0,4
3.0,4,3,0,33.436506994600975,1,7800.0,65.0,1,1,793.0,119900,1,1,1,0,1,2
3.0,1,0,0,38.1051177665153,0,3735.0,35.0,0,3,691.0,183900,1,0,0,0,0,4
3.0,1,0,0,39.344631145812,0,2308.0,28.125,2,4,804.0,155000,1,1,1,0,0,3
3.0,2,0,2,48.908077042549934,2,13472.0,103.0,0,6,2202.875,386250,0,0,0,0,0,9
3.0,1,2,2,32.2490309931942,1,7500.0,75.0,0,1,1040.0,133000,0,1,1,0,0,2
