1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1828,605,2,3,48,3,1774,774,1,2007,1828,3,11694,90,452,108,5,9,1822,2007,2007,314813
894,445,2,1,510,1,894,308,1,1962,894,2,6600,60,171,82,5,5,894,1962,1962,109500
964,639,2,1,713,5,163,432,1,1921,964,2,13360,80,318,48,7,5,876,1921,2006,163500
1689,830,3,1,1218,6,350,857,2,2002,1689,3,13265,73,148,59,5,8,1568,2002,2002,271000
1541,1037,3,1,607,1,1541,843,2,2001,1541,3,13704,118,150,81,5,7,1541,2001,2002,205000
1221,1336,2,1,410,6,811,400,2,2004,1221,3,7500,62,183,113,5,7,1221,2004,2005,185000
1324,896,3,1,643,3,445,440,2,1965,1324,2,8658,84,101,138,5,6,1088,1965,1965,160000
696,720,3,1,604,5,92,484,1,1999,1416,3,2572,24,220,44,5,7,696,1999,1999,155000
526,462,2,4,462,6,1237,297,1,1973,988,2,1596,21,766,101,5,4,462,1973,1973,91000
869,349,3,1,375,5,360,440,1,2003,1218,2,6000,60,82,48,6,6,735,1941,1989,131000
760,896,3,1,569,1,746,397,3,2003,1656,3,6931,60,92,128,5,7,746,2003,2004,165400
1362,651,2,3,20,5,1342,460,3,2005,1362,3,7577,61,256,28,5,6,1362,2005,2006,194700
1051,788,4,1,425,1,756,442,1,1966,1839,2,7700,70,351,124,5,6,756,1966,1966,155000
1375,808,2,1,641,1,1367,451,1,1954,1375,2,11310,75,260,30,5,6,1367,1954,1954,140000
1122,1347,2,1,144,6,172,528,1,1948,1122,3,12000,100,170,36,7,5,924,1948,2005,147000
1432,586,2,4,680,5,289,588,1,1978,1432,3,16157,100,448,180,7,5,1360,1978,1978,194000
728,728,3,3,975,1,728,400,3,2007,1456,3,9018,65,256,24,5,7,728,2007,2007,179540
1217,576,3,3,611,6,577,497,1,1990,1217,3,9947,90,351,27,5,7,1188,1990,1991,173000
1040,915,2,0,152,0,470,625,1,1950,1040,2,7200,60,175,43,7,5,943,1950,1971,109500
612,612,2,3,294,6,318,528,2,2009,1224,3,3000,30,76,234,5,6,612,2009,2009,173733
1022,752,2,1,748,1,952,468,1,1931,1774,2,6120,51,653,40,5,7,952,1931,2003,129900
961,406,4,1,241,3,229,384,1,1978,1367,2,8405,50,309,130,8,5,861,1900,2005,119000
803,557,2,1,916,1,803,297,1,1951,1360,3,7200,60,660,65,6,5,803,1938,1995,125500
848,600,1,3,697,6,151,420,2,2004,848,3,4426,40,147,20,5,6,848,2004,2004,149300
1482,780,3,4,871,6,611,749,3,2003,2262,3,12244,85,226,144,5,8,1482,2003,2003,305000
1220,888,2,1,836,2,402,396,1,1951,1220,2,8877,67,34,48,5,4,836,1951,1951,102000
1414,530,2,1,607,1,1375,398,3,2004,1414,3,3072,138,18,20,5,7,1375,2004,2004,178740
1134,924,3,1,319,3,416,396,1,1950,2058,2,9600,60,236,108,5,6,735,1917,1997,129500
1088,110,4,1,569,6,901,299,2,1920,1198,2,5586,60,510,98,7,6,901,1920,1998,79900
1659,664,2,1,1158,6,343,499,3,2000,1659,4,5664,40,600,59,5,8,1501,2000,2000,278000
1012,1088,2,1,728,1,1012,308,1,1920,1012,2,8263,59,594,22,5,6,1012,1920,1994,118400
1687,998,5,1,523,6,301,672,3,1970,3082,2,15863,102,223,63,3,7,824,1920,1970,197000
1032,729,4,1,353,1,360,672,1,1999,1812,3,7630,76,90,59,9,5,360,1900,1996,140000
1057,872,3,1,738,1,319,650,3,2001,1929,3,7050,116,180,235,5,7,1057,2001,2001,226000
954,728,3,3,483,5,428,576,1,1976,954,2,10780,55,456,21,5,5,911,1976,1976,132500
1838,1323,2,3,1260,6,578,765,2,2006,1838,4,14601,85,584,68,5,9,1838,2006,2006,315000
1640,672,3,1,728,4,568,924,1,1993,1640,3,14778,32,72,234,7,6,1296,1954,2006,224000
1148,1440,3,1,1148,4,1330,672,1,1959,1148,2,7931,70,336,80,5,5,1148,1959,1959,132500
950,370,4,1,412,4,251,280,1,1981,950,2,9758,61,110,128,5,5,950,1971,1971,119500
1065,846,3,1,380,3,397,471,2,1993,1911,3,9554,80,125,81,5,8,777,1993,1994,215000
915,720,3,1,300,3,765,440,1,1950,1635,2,8737,70,275,38,7,6,1065,1923,1992,210000
1316,1304,3,3,495,4,1316,440,3,2007,1316,3,11175,103,168,20,5,7,1316,2007,2007,200141
1442,677,2,1,659,1,1442,615,2,1970,1442,2,11717,90,571,42,6,6,1442,1970,1970,185000
1078,728,3,1,734,6,344,500,3,1971,1078,2,12537,48,350,26,6,5,1078,1971,2008,149900
1120,605,3,1,932,5,108,544,2,1961,1120,1,6970,85,336,152,5,4,1040,1961,1961,129000
779,640,3,1,353,6,55,527,3,2002,1419,3,7750,83,256,108,5,8,408,2002,2002,184100
707,682,3,1,594,1,651,240,1,1947,1389,2,3378,60,660,72,8,7,651,1946,1992,135000
1063,790,3,1,354,3,412,280,2,1954,1063,2,9920,80,110,162,5,5,1056,1954,1954,128000
1792,762,2,4,1567,6,225,874,3,2003,1792,4,11846,72,562,49,5,9,1792,2003,2004,374000
1216,1360,2,1,897,6,319,402,1,1998,1216,2,4500,32,116,125,5,6,1216,1998,1998,164000
998,764,4,1,329,1,596,576,1,1989,1762,3,7200,60,44,50,7,7,596,1920,1999,157000
847,1112,4,3,821,1,847,434,3,2004,1959,3,11796,59,387,48,5,7,847,2004,2005,215000
1208,623,3,1,767,5,441,546,2,1977,1208,2,11250,120,34,42,6,6,1208,1977,1977,165000
874,650,3,1,460,4,414,315,1,1958,1524,2,11344,78,180,42,5,5,874,1958,1958,144000
796,358,3,1,735,4,61,240,1,1922,1154,3,5436,40,731,96,8,4,796,1922,2007,125500
1048,649,3,0,1116,0,750,420,1,1950,1048,2,7200,60,104,27,5,5,912,1950,1993,98300
886,622,2,1,599,1,190,273,1,1938,886,2,5784,50,172,20,8,5,190,1938,1996,91300
943,742,2,4,943,6,276,600,1,1979,943,2,7032,85,513,63,5,5,943,1979,1979,135960
866,902,3,1,400,6,466,603,2,2005,1768,3,9803,75,132,108,5,7,866,2005,2005,226700
1422,1177,4,1,354,1,1393,779,3,1999,2599,3,14774,108,165,30,5,9,1393,1999,1999,333168
912,703,2,1,456,3,456,275,2,1958,912,2,10150,70,1,29,5,5,912,1958,1958,114500
882,940,2,0,1573,0,864,308,1,1956,882,2,12702,70,110,45,5,5,1134,1956,1956,97000
1337,596,2,1,266,6,1139,511,3,1998,1337,3,4060,34,220,68,5,6,1405,1998,1999,181000
2076,1360,2,4,1386,6,690,850,1,2006,2076,4,13891,107,362,229,5,10,2076,2006,2006,465000
1328,1203,4,3,56,2,1198,752,2,1995,2531,3,12257,65,513,98,5,8,1318,1995,1995,290000
981,787,3,1,569,5,162,240,1,1939,1768,3,7200,60,252,247,7,5,731,1937,1959,175000
1625,866,2,4,1573,5,374,538,3,2006,1625,3,4750,44,481,38,5,8,1573,2006,2007,235000
1444,700,4,4,697,3,747,389,3,1958,2144,3,159000,58,472,98,7,6,1444,1958,2006,277000
1521,950,3,1,564,1,1237,880,1,1988,2775,3,13500,75,120,502,9,10,1237,1893,2000,325000
1140,728,3,1,816,1,585,477,3,1984,1868,2,12090,78,74,112,7,6,585,1984,2003,178000
1525,716,3,3,1400,6,125,541,2,2000,1525,3,9100,70,244,36,5,7,1525,2000,2000,235000
1571,678,3,4,400,4,1571,722,3,2007,1571,3,10991,89,80,36,5,8,1571,2007,2007,239000
796,1306,2,1,365,1,796,461,0,1910,796,2,8777,67,290,56,7,5,796,1910,1966,85000
1378,994,4,1,185,1,994,432,2,1985,2372,2,6600,60,165,287,4,5,994,1892,1965,107500
802,670,3,1,420,1,384,402,2,1991,1472,3,10784,60,76,36,5,7,384,1991,1992,160000
960,795,0,3,648,6,80,364,1,1965,960,2,10246,50,300,120,9,4,648,1965,2001,145000
734,1104,4,3,486,1,732,372,3,2005,1838,2,21930,60,146,40,5,5,732,2005,2005,192140
1309,684,3,1,663,5,504,484,2,1974,1309,3,10140,78,99,20,6,6,1040,1974,1999,181000
2069,574,3,3,415,1,2153,694,3,2006,2643,4,13693,105,772,84,5,9,2153,2006,2006,380000
676,455,2,1,614,1,676,200,1,1941,1131,2,5720,52,180,151,6,5,676,1941,2006,66500
960,1000,4,1,672,1,960,400,1,1952,1960,2,7596,60,360,74,5,5,960,1952,1952,124500
1144,1038,3,1,25,4,247,336,1,1962,1144,2,9204,71,335,88,5,5,1144,1963,1963,124000
1056,664,0,1,1056,6,440,576,1,1980,1056,2,6979,64,16,56,5,6,1056,1980,1980,144000
693,596,2,1,1314,1,693,264,0,1941,693,1,4118,153,567,20,4,4,693,1941,1991,52500
