2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearRemodAdd,SalePrice
984.0,3,0,15.937006406165827,0,40.624672024386896,34.73283051074503,0,42.7551166528639,0,11694.0,90.0,21.2602916254693,4.977714761080103,0,0,1822.0,2007,314813
720.0,2,1,69.2793348360479,1,31.466463067350755,23.053045236078244,1,29.899832775452108,1,6600.0,60.0,25.53673824120849,4.242568166101798,0,1,894.0,1962,109500
840.0,2,1,90.58015814357783,2,15.356687703450808,26.839552106240394,0,31.04834939252005,1,13360.0,80.0,15.0996688705415,5.492861989640988,1,1,876.0,2006,163500
676.0,3,1,126.51121881248494,0,21.341596988270744,36.315495030999806,2,41.09744517606904,0,13265.0,80.0,12.165525060596439,4.3005246955931264,0,2,1568.0,2002,271000
806.0,3,1,110.90678330154714,1,39.20340441101879,36.055097453709884,2,39.25557285278104,0,13704.0,113.0,12.24744871391589,4.654167454103102,0,3,1541.0,2002,205000
915.0,2,1,64.0009915376065,0,30.24106436266738,25.931577736277863,2,34.942810419312295,0,7500.0,62.0,13.416407864998739,5.0288331866181615,0,3,1221.0,2005,185000
862.0,3,1,84.90671332852051,3,23.605312506698244,27.060287409469723,1,36.38681079732051,1,8658.0,84.0,10.04987562112089,5.2553042253519235,0,4,1088.0,1965,160000
720.0,3,1,81.64251441123105,2,11.875714596958732,28.233895325893492,0,37.62977544445356,0,2572.0,25.0,11.313708498984761,3.9757526921981197,0,3,696.0,1999,155000
462.0,2,2,68.99786019698331,0,25.58368037078144,22.67636206937109,0,31.432467291003423,1,1596.0,25.0,10.295630140987,4.902134434085525,0,5,462.0,1973,91000
349.0,3,1,60.49914282395293,2,21.59671366320611,27.060287409469723,0,34.899856733230294,1,6000.0,60.0,7.0710678118654755,4.242568166101798,2,4,735.0,2000,131000
896.0,3,1,53.85953011712188,1,29.225507239022285,25.844286401636328,1,40.69397989875161,0,6931.0,60.0,9.591663046625438,5.169929880374412,0,3,746.0,2004,165400
767.0,2,0,8.628759273436598,2,37.08646283983565,27.601953066948354,0,36.90528417449187,0,7577.0,61.0,16.0,3.480152551864461,0,4,1362.0,2006,194700
788.0,4,1,75.03771297041654,1,29.385251040370864,27.115100094474744,0,42.883563284783136,1,7700.0,70.0,18.734993995195193,5.1339467595613755,0,4,756.0,1966,155000
1178.0,2,1,52.20465152585837,1,37.362738148755625,27.359961492355893,0,37.080992435478315,1,11310.0,75.0,12.806248474865697,3.5554284749760274,0,4,1367.0,1954,140000
1031.0,2,1,32.87402779622198,0,15.723821500353205,29.346032737566357,0,33.49626844888845,0,12000.0,100.0,17.46424919657298,3.755002032520848,1,1,924.0,2005,147000
985.0,2,2,87.93364152655037,2,19.676983428860414,30.777656146760513,0,37.841775856849004,0,16157.0,92.0,9.486832980505138,5.55819659843447,1,1,1360.0,1978,194000
728.0,3,0,71.59834387700845,1,28.93456282452307,25.931577736277863,1,38.157568056677825,0,9018.0,65.0,16.852299546352718,3.3124486593833944,0,3,728.0,2007,179540
684.0,3,0,82.23424706138992,0,26.294988041736026,28.56848616976243,0,34.88552708502482,0,9947.0,70.0,9.9498743710662,3.4405270557411285,0,3,1188.0,1991,173000
1417.5,2,3,80.87781618069857,4,22.71653543345212,31.617818710465354,0,32.2490309931942,1,7200.0,60.0,4.0,4.868168045527983,1,1,729.0,2005,109500
612.0,2,0,51.86984317990183,0,20.493222148261587,29.346032737566357,2,34.9857113690718,0,3000.0,30.0,8.717797887081348,5.769902858041296,0,4,612.0,2009,173733
752.0,2,1,87.93364152655037,1,32.2811052168663,27.81471935351978,0,42.118879377305376,1,6120.0,51.0,14.142135623730951,3.5184227712326255,0,3,952.0,2006,129900
406.0,4,1,45.71813241746295,3,17.808824821287317,25.46144945477721,0,36.9729630946723,1,8405.0,50.0,14.38749456993816,5.18751265909374,3,1,861.0,2000,119000
557.0,2,1,119.13620824009323,1,30.1188846475654,22.67636206937109,0,36.87817782917155,0,7200.0,60.0,13.038404810405298,4.408292030912418,2,1,803.0,1995,125500
591.0,1,0,89.30303347931054,0,14.846907930719455,26.503873590003586,2,29.120439557122072,0,4426.0,75.0,12.12435565298214,4.913238464604216,0,4,848.0,2004,149300
780.0,3,2,102.64915777748327,0,26.923905522086127,34.236616060744765,1,47.56048780237646,0,12244.0,85.0,15.033296378372908,4.868168045527983,0,2,1482.0,2003,305000
725.0,2,1,100.0538249516023,5,20.245072815764637,25.815102735539142,0,34.92849839314596,1,8877.0,67.0,4.0,5.2716535824505,0,5,836.0,1951,102000
571.0,2,1,99.15439774709252,1,37.45047886253831,25.873426675110082,1,37.603191353926334,0,3072.0,48.0,4.242640687119285,3.114959002323608,0,3,1375.0,2004,178740
924.0,3,1,54.62128163647801,3,22.949340333181045,25.815102735539142,0,45.36518488885502,1,9600.0,60.0,10.954451150103322,3.755002032520848,0,4,735.0,1991,129500
173.5,4,1,58.960005305364334,3,31.566501542832174,31.48361115238996,2,34.61213659975356,1,5586.0,60.0,9.219544457292887,4.868168045527983,1,4,901.0,1998,79900
717.0,2,1,122.59446578850218,0,21.160293793765252,28.61950093802274,1,40.7308237088326,2,5664.0,40.0,8.48528137423857,4.3005246955931264,0,2,1501.0,2000,278000
560.0,2,1,82.99122048371179,1,33.091831151039095,23.053045236078244,0,31.811947441173732,1,8263.0,59.0,11.090536506409418,3.2180821585371326,0,4,1012.0,1985,118400
