1stFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinType1,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,SalePrice,Has2ndFloor,HasMasVnr,HasOpenPorch,HasGarage,HasFinBsmt,ModsMade
856,3,No,GLQ,RFn,2003,1710,Gd,8450,65,5,7,856,2003,208500,1,1,1,1,1,0
1262,3,Gd,ALQ,RFn,1976,1262,TA,9600,80,8,6,1262,1976,181500,0,0,0,1,1,0
920,3,Mn,GLQ,RFn,2001,1786,Gd,11250,68,5,7,920,2001,223500,1,1,1,1,1,1
961,2,No,ALQ,Unf,1998,1717,Gd,9550,60,5,7,756,1915,140000,0,0,1,1,1,1
1145,4,Av,GLQ,RFn,2000,2198,Gd,14260,84,5,8,1145,2000,250000,0,1,1,1,1,0
796,1,No,GLQ,Unf,1993,1362,TA,14115,85,5,5,796,1993,143000,1,0,1,1,1,1
1694,3,Av,GLQ,RFn,2004,1694,Gd,10084,75,5,8,1686,2004,307000,0,1,1,1,1,1
1107,3,Mn,ALQ,Unf,1973,2090,TA,10382,97,6,7,1107,1973,200000,1,1,1,1,1,0
1022,2,No,Unf,Unf,1931,1774,TA,6120,51,5,7,952,1931,129900,1,0,0,1,0,1
1077,2,No,GLQ,RFn,1939,1077,TA,7420,50,6,5,991,1939,118000,0,0,1,1,1,1
1040,3,No,Rec,Unf,1965,1040,TA,11200,70,5,5,1040,1965,129500,0,0,0,1,1,0
1182,4,No,GLQ,Fin,2005,2324,Ex,11924,85,5,9,1175,2005,345000,1,1,1,1,1,1
912,2,No,ALQ,Unf,1962,912,TA,12968,56,6,5,912,1962,144000,0,0,0,1,1,0
1494,3,Av,Unf,RFn,2006,1494,Gd,10652,91,5,7,1494,2006,279500,0,1,1,1,0,1
1253,2,No,BLQ,RFn,1960,1253,TA,10920,24,5,6,1253,1960,157000,0,1,1,1,1,0
854,2,No,Unf,Unf,1991,854,TA,6120,51,8,7,832,1929,132000,0,0,1,1,0,1
1004,2,No,ALQ,Fin,1970,1004,TA,11241,55,7,6,1004,1970,149000,0,1,0,1,1,0
1296,2,None,None,Unf,1967,1296,TA,10791,72,5,4,0,1967,90000,0,0,0,1,1,0
1114,6,No,GLQ,Unf,2004,1114,Gd,13695,66,5,5,1114,2004,159000,0,0,1,1,1,0
1339,3,No,LwQ,Unf,1958,1339,TA,7560,70,6,5,1029,1958,139000,0,0,0,1,1,1
1158,4,Av,Unf,RFn,2005,2376,Gd,14215,101,5,8,1158,2005,325300,1,1,1,1,0,1
1108,3,No,Unf,Unf,1930,1108,Gd,7449,57,7,7,637,1930,139400,0,0,0,1,0,1
1795,3,No,Unf,RFn,2002,1795,Gd,9742,75,5,8,1777,2002,230000,0,1,1,1,0,0
1060,3,No,GLQ,Unf,1976,1060,TA,4224,44,7,5,1040,1976,129900,0,0,1,1,1,0
1060,3,Mn,Rec,Unf,1968,1060,Gd,8246,98,8,5,1060,1968,154000,0,0,1,1,1,1
1600,3,No,Unf,RFn,2007,1600,Gd,14230,110,5,8,1566,2007,256300,0,1,1,1,0,0
900,3,Mn,Unf,Unf,2005,900,Gd,7200,60,7,5,900,1951,134800,0,0,1,1,1,1
1704,3,No,GLQ,RFn,2008,1704,Gd,11478,98,5,8,1704,2007,306000,0,1,1,1,1,1
1600,2,Gd,BLQ,RFn,1957,1600,TA,16321,47,6,5,1484,1957,207500,0,0,1,1,1,1
520,1,No,Unf,Unf,1920,520,Fa,6324,60,6,4,520,1927,68500,0,0,0,1,0,1
649,3,No,Unf,Unf,1920,1317,TA,8500,50,4,4,649,1920,40000,1,0,1,1,0,1
1228,3,No,Unf,Unf,1966,1228,Gd,8544,72,6,5,1228,1966,149350,0,0,1,1,0,1
1234,3,Av,Unf,RFn,2007,1234,Gd,11049,85,5,8,1234,2007,179900,0,0,1,1,0,0
1700,4,No,Rec,RFn,1959,1700,Gd,10552,70,5,5,1398,1959,165500,0,0,1,1,1,0
1561,2,No,GLQ,Fin,2005,1561,Ex,7313,60,5,9,1561,2005,277500,0,1,1,1,1,0
1132,4,Av,Unf,RFn,2004,2452,Gd,13418,108,5,8,1117,2004,309000,1,1,1,1,0,1
1097,3,No,Unf,Unf,1995,1097,TA,10859,112,5,5,1097,1994,145000,0,0,1,1,0,1
1297,4,No,Rec,Fin,1954,1297,TA,8532,74,6,5,1297,1954,153000,0,1,0,1,1,1
1057,3,No,GLQ,Unf,1953,1057,Gd,7922,68,7,5,1057,1953,109000,0,0,1,1,1,1
1152,4,None,None,None,1955,1152,Fa,6040,65,5,4,0,1955,82000,0,0,0,0,0,0
1324,3,No,Rec,RFn,1965,1324,TA,8658,84,5,6,1088,1965,160000,0,1,1,1,1,0
1328,2,Gd,BLQ,Unf,1959,1328,TA,16905,115,6,5,1350,1959,170000,0,0,1,1,1,0
884,2,Av,ALQ,RFn,1983,884,Gd,9180,21,7,5,840,1983,144000,0,0,0,1,1,0
938,3,Av,LwQ,Unf,1977,938,TA,9200,94,6,5,938,1975,130250,0,0,0,1,1,1
1150,3,No,ALQ,RFn,1959,1150,TA,7945,70,6,5,1150,1959,141000,0,0,0,1,1,0
1752,2,No,GLQ,RFn,2005,1752,Ex,7658,61,5,9,1752,2005,319900,0,1,1,1,1,0
1518,1,No,GLQ,RFn,2003,2149,Gd,12822,48,5,7,1434,2003,239686,1,0,1,1,1,0
1656,3,Av,GLQ,RFn,2006,1656,Gd,11096,84,5,8,1656,2006,249700,0,0,1,1,1,0
736,2,No,Unf,None,1920,1452,TA,4456,33,5,4,736,1920,113000,1,0,0,0,0,1
955,3,No,BLQ,Unf,1966,955,TA,7742,66,7,5,955,1966,127000,0,0,0,1,1,0
794,3,Av,GLQ,Fin,1997,1470,TA,13869,21,6,6,794,1997,177000,1,0,1,1,1,0
816,3,No,Unf,Unf,1985,1176,TA,6240,52,6,6,816,1934,114500,0,0,0,1,0,1
816,2,Gd,LwQ,Unf,1963,816,TA,8472,110,5,5,816,1963,110000,0,0,0,1,1,0
1842,0,Gd,GLQ,Fin,1981,1842,Gd,50271,68,5,9,1842,1981,385000,0,0,1,1,1,1
1360,3,No,ALQ,Unf,1962,1360,TA,7134,60,5,5,384,1955,130000,0,0,1,1,1,0
1425,3,No,BLQ,RFn,1964,1425,TA,10175,100,5,6,1425,1964,180500,0,1,0,1,1,0
983,3,No,GLQ,Fin,1999,1739,Gd,2645,24,5,8,970,1999,172500,1,1,0,1,1,1
860,3,No,Unf,RFn,2004,1720,Gd,11645,89,5,7,860,2004,196500,0,0,1,1,0,0
1426,3,Gd,Unf,Fin,2006,2945,Gd,13682,66,5,10,1410,2006,438780,1,1,0,1,0,0
780,2,Av,ALQ,Unf,1973,780,TA,7200,60,7,5,780,1972,124900,0,0,0,1,1,0
1158,3,No,ALQ,Unf,2006,1158,Gd,13072,63,5,6,1158,2004,158000,0,0,1,1,1,0
581,3,No,Unf,Unf,1935,1111,Fa,7200,60,7,5,530,1920,101000,1,0,0,1,0,1
1370,2,Mn,GLQ,RFn,2006,1370,Gd,6442,44,5,8,1370,2006,202500,0,1,1,1,1,0
902,3,No,Unf,Unf,1990,1710,TA,10300,50,6,7,576,1921,140000,1,0,1,1,0,1
1057,4,No,GLQ,RFn,1998,2034,Gd,9375,98,5,7,1057,1997,219500,1,1,1,1,1,1
1143,4,Av,Unf,RFn,2004,2473,Gd,9591,76,5,8,1143,2004,317000,1,1,1,1,0,1
2207,3,Gd,GLQ,RFn,1970,2207,TA,19900,87,5,7,1947,1970,180000,0,1,0,1,1,1
1479,3,Av,GLQ,RFn,2003,1479,Gd,10665,72,5,7,1453,2003,226000,0,1,1,1,1,0
747,2,No,Unf,Unf,1945,747,TA,4608,47,6,4,747,1945,80000,0,0,0,1,0,1
1304,1,No,BLQ,Fin,1953,2287,TA,15593,81,4,7,1304,1953,225000,1,0,1,1,1,0
2223,3,Gd,ALQ,Fin,1973,2223,TA,13651,95,6,7,2223,1973,244000,0,1,0,1,1,0
845,2,No,ALQ,Unf,1987,845,TA,7599,69,6,4,845,1982,129500,0,0,0,1,1,1
885,3,No,Unf,Fin,1998,1718,TA,10141,74,5,7,832,1998,185000,1,1,1,1,0,0
1086,3,No,ALQ,Unf,1989,1086,TA,10200,85,7,5,1086,1954,144900,0,1,0,1,1,1
840,3,No,Unf,Unf,1915,1605,TA,5790,60,6,3,840,1915,107400,1,0,0,1,0,1
526,2,Gd,GLQ,Unf,1973,988,TA,1596,21,5,4,462,1973,91000,1,0,1,1,1,0
952,2,No,ALQ,Unf,1956,952,TA,8475,50,7,4,952,1956,135750,0,0,0,1,1,0
